name,url
Architecture,https://www.lego.com/en-us/themes/architecture
Batman™,https://www.lego.com/en-us/themes/lego-batman-sets
Botanical Collection,https://www.lego.com/en-us/themes/adults-welcome/botanical-collection/artificial-flowers
BrickHeadz,https://www.lego.com/en-us/themes/brickheadz
City,https://www.lego.com/en-us/themes/city
Classic,https://www.lego.com/en-us/themes/classic
Creator 3in1,https://www.lego.com/en-us/themes/creator-3-in-1
Creator Expert,https://www.lego.com/en-us/themes/creator-expert
DC,https://www.lego.com/en-us/themes/dc
Despicable Me 4,https://www.lego.com/en-us/themes/despicable-me
Disney,https://www.lego.com/en-us/themes/disney
DOTS,https://www.lego.com/en-us/themes/dots
DUPLO®,https://www.lego.com/en-us/themes/duplo
Friends,https://www.lego.com/en-us/themes/friends
Harry Potter™,https://www.lego.com/en-us/themes/harry-potter
Ideas,https://www.lego.com/en-us/themes/ideas
Jurassic World,https://www.lego.com/en-us/themes/jurassic-world
LEGO® Animal Crossing™,https://www.lego.com/en-us/themes/animal-crossing
LEGO® Art,https://www.lego.com/en-us/themes/art
LEGO® Avatar,https://www.lego.com/en-us/themes/avatar
LEGO® Braille Bricks,https://www.lego.com/en-us/theme/braille-bricks
LEGO® DREAMZzz™,https://www.lego.com/en-us/themes/dreamzzz
LEGO® DUPLO® Peppa Pig,https://www.lego.com/en-us/themes/duplo/peppa-pig
LEGO® Education,https://www.lego.com/en-us/themes/lego-education
LEGO® Gabby's Dollhouse,https://www.lego.com/en-us/themes/gabbys-dollhouse
LEGO® Icons,https://www.lego.com/en-us/themes/lego-icons
LEGO® Indiana Jones™,https://www.lego.com/en-us/themes/indiana-jones
LEGO® Super Mario™,https://www.lego.com/en-us/themes/super-mario
Lord of the Rings™,https://www.lego.com/en-us/themes/lord-of-the-rings
Marvel,https://www.lego.com/en-us/themes/marvel
Minecraft®,https://www.lego.com/en-us/themes/minecraft
Minifigures,https://www.lego.com/en-us/themes/minifigures
Monkie Kid™,https://www.lego.com/en-us/themes/monkie-kid
NINJAGO®,https://www.lego.com/en-us/themes/ninjago
Powered UP,https://www.lego.com/en-us/themes/powered-up
SERIOUS PLAY®,https://www.lego.com/en-us/themes/serious-play
Sonic the Hedgehog™,https://www.lego.com/en-us/themes/sonic-the-hedgehog
Speed Champions,https://www.lego.com/en-us/themes/speed-champions
Spider-Man,https://www.lego.com/en-us/themes/lego-spider-man
Star Wars™,https://www.lego.com/en-us/themes/star-wars
Technic™,https://www.lego.com/en-us/themes/technic
